2    Anogeissus pendula,BE2 = -256.5319 D2 + 327.3360 D - 19.9557
Anogeissus pendula,BE2 = -24.9712 D2 + 27.0362 D - 1.6791
Anogeissus pendula,BE3 = -0.0413 D12 + 1.6164 D1 - 0.8311
Anogeissus pendula,BE4 = 0.0612 D1 + 0.0148
3    Boswellia serrata,BE2 = 120.4804 D2 + 162.6570 D - 9.0293
Boswellia serrata,BE2 = 5.0517 D2 + 8.6131 D - 0.2364
Boswellia serrata,BE3 = 0.1294 D12 - 0.0842 D1 + 0.1589
Boswellia serrata,BE4 = 0.0037 D12 + 0.0198 D1 + 0.0092
Lannea coromandelica,BE2 = 37.5026 D2 + 235.1910 D - 16.6356
Lannea coromandelica,BE2 = -4.6969 D2 + 29.3272 D - 1.8890
Lannea coromandelica,BE3 = 0.0252 D12 + 0.5893 D1 - 0.0258
Lannea coromandelica,BE4 = 0.0036 D12 + 0.0276 D1 + 0.0877
Lannea grandis,BE2 = 37.5026 D2 + 235.1910 D - 16.6356
Lannea grandis,BE2 = -4.6969 D2 + 29.3272 D - 1.8890
Lannea grandis,BE3 = 0.0252 D12 + 0.5893 D1 - 0.0258
Lannea grandis,BE4 = 0.0036 D12 + 0.0276 D1 + 0.0877
Odina wodier,BE2 = 37.5026 D2 + 235.1910 D - 16.6356
Odina wodier,BE2 = -4.6969 D2 + 29.3272 D - 1.8890
Odina wodier,BE3 = 0.0252 D12 + 0.5893 D1 - 0.0258
Odina wodier,BE4 = 0.0036 D12 + 0.0276 D1 + 0.0877
5    Butea monosperma(01d),BEI= 221.3745 D2- 43.7095 D + 5.1897
Butea monosperma(Old),BE2 = 20.3847 D2- 2.5894 D + 0.8161
Butea monosperma(Old),BE3 = 0.0716 D12- 0.2408 D1 + 0.7970
Butea monosperma(Old),BE4 = 0.0070 D12 - 0.0174 Di + 0.0790
Butea frondosa,BEI= 221.3745 D2- 43.7095 D + 5.1897
Butea frondosa,BE2 = 20.3847 D2- 2.5894 D + 0.8161
Butea frondosa,BE3 = 0.0716 D12- 0.2408 D1 + 0.7970
Butea frondosa,BE4 = 0.0070 D12 - 0.0174 Di + 0.0790
Diospyros melanoxylon,BE2 = 409.0799 D2- 108.5871 D + 14.2917
