20    Xylia xylocarpa,sqrtV = 0.01631 + 2.20921 D
Eastern Ghats,region
1        Albizia amara,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
2    Albizia species,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
3    Anogeissus latifolia,V = 0.13928 - 2.87067 D + 20.22404 D2 - 13.80572 D3
4    Bridelia retusa,V/D = 0.035142/D - 0.839708 + 8.157614 D
5    Buchanania latifolia,logeV = 2.2491 + 2.5206 logeD
Buchanania lanzan,logeV = 2.2491 + 2.5206 logeD
6    Chloroxylon swietenia,V = -0.003156 + 2.043969 D2
7    Cleistanthus collinus,sqrtV = 0.12956 + 3.7819 D - 1.04671 sqrtD
8    Diospyros melanoxylon,sqrtV = 0.06728 + 4.06351 D - 0.99816 sqrtD
9    Grewia tiliaefolia,logeV = 2.2491 + 2.5206 logeD
10    Lannea coromandelica,V = 0.057424 - 1.153088 D + 8.542648 D2
11    Pterocarpus marsupium,sqrtV = -0.16276 + 2.82002 D + 0.04034 sqrtD
12    Semecarpus anacardium,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
13    Shorea robusta,sqrtV = 0.19994 + 4.57179 D - 1.56823 sqrtD
14    Syzygium cumini,sqrtV = 0.30706 + 5.12731 D - 2.09870 sqrtD
    Syzygium jambolanum,sqrtV = 0.30706 + 5.12731 D - 2.09870 sqrtD
     Eugenia jambolana,sqrtV = 0.30706 + 5.12731 D - 2.09870 sqrtD
15    Tectona grandis,V/D2 = 0.12591/D2 - 2.45212/D + 16.52336 - 7.57135 D
16    Terminalia crenulata,V = 0.05061 - 1.11994 D + 8.77839 D2 
Terminalia tomentosa,V = 0.05061 - 1.11994 D + 8.77839 D2 
Terminalia elliptica,V = 0.05061 - 1.11994 D + 8.77839 D2 
17    Xylia xylocarpa,V = 0.098 - 1.52 D + 8.963 D2
West Coast,region
1    Acacia catechu,V = -0.048108 + 5.873169 D2
2    Anogeissus latifolia,sqrtV = -0.357373 + 2.430449 D + 0.794626 sqrtV
3    Bombax ceiba,V/D2 = 0.136196/D2 - 2.07674/D + 10.1566
Bombax malabaricum,V/D2 = 0.136196/D2 - 2.07674/D + 10.1566
Salmalia malabarica,V/D2 = 0.136196/D2 - 2.07674/D + 10.1566
Bombax insigne,V/D2 = 0.136196/D2 - 2.07674/D + 10.1566
4    Boswellia serrata,sqrtV = -0.188655 + 3.021335 D
5    Bridelia retusa,V/D = 0.035142/D - 0.839708 + 8.157614 D
Bridelia squamosa,V/D = 0.035142/D - 0.839708 + 8.157614 D
6    Butea monosperma,V/D2 = 0.136196/D2 - 2.07674/D + 10.1566
Butea frondosa,V/D2 = 0.136196/D2 - 2.07674/D + 10.1566
7    Careya arborea,sqrtV = -0.23738 + 2.33289 D + 0.48512 sqrtD
8    Dalbergia latifolia,sqrtV = -0.144504 + 2.943115 D
9    Garuga pinnata,V/D = 0.077965/D - 1.481043 + 9.797028 D
10    Grewia tiliaefolia,V = 0.018620 + 13.916741 D3
11    Lagerstroemia lanceolata,V = 0.177 - 1.817 D + 9.285 D2
 Lagerstroemia microcarpa,V = 0.177 - 1.817 D + 9.285 D2
12    Lannea coromandelica,sqrtV = 0.404153 + 5.555051 D - 2.545525 sqrtD
Lannea grandis,sqrtV = 0.404153 + 5.555051 D - 2.545525 sqrtD
Odina wodier,sqrtV = 0.404153 + 5.555051 D - 2.545525 sqrtD
13    Macaranga peltata,sqrtV = -0.07109 + 2.99732 D - 0.26953 sqrtD
14    Schleichera trijuga,V/D2 = 0.016042/D2 - 0.49647/D + 6.2214
Schleichera oleosa,V/D2 = 0.016042/D2 - 0.49647/D + 6.2214
